Region,Unit,Year (Raw),Year,Temperature Change
Central America,°C,Y1998,1998,0.783
Central America,°C,Y1999,1999,0.544
Central America,°C,Y2000,2000,0.522
Central America,°C,Y2001,2001,0.516
Central America,°C,Y2002,2002,0.689
Central America,°C,Y2003,2003,0.823
Central America,°C,Y2004,2004,0.358
Central America,°C,Y2005,2005,0.761
Central America,°C,Y2006,2006,0.808
Central America,°C,Y2007,2007,0.531
Central America,°C,Y2008,2008,0.522
Central America,°C,Y2009,2009,1.028
Central America,°C,Y2010,2010,0.393
Central America,°C,Y2011,2011,0.935
Central America,°C,Y2012,2012,0.827
Central America,°C,Y2013,2013,0.772
Caribbean,°C,Y1961,1961,-0.004
Caribbean,°C,Y1962,1962,-0.027
Caribbean,°C,Y1963,1963,-0.091
Caribbean,°C,Y1964,1964,0.107
Caribbean,°C,Y1965,1965,-0.142
Caribbean,°C,Y1966,1966,-0.179
Caribbean,°C,Y1967,1967,-0.242
Caribbean,°C,Y1968,1968,-0.281
Caribbean,°C,Y1969,1969,0.119
Caribbean,°C,Y1970,1970,-0.244
Caribbean,°C,Y1971,1971,-0.133
Caribbean,°C,Y1972,1972,0.177
Caribbean,°C,Y1973,1973,0.337
Caribbean,°C,Y1974,1974,-0.144
Caribbean,°C,Y1975,1975,0.247
Caribbean,°C,Y1976,1976,-0.32
Caribbean,°C,Y1977,1977,0.161
Caribbean,°C,Y1978,1978,0.101
Caribbean,°C,Y1979,1979,0.198
Caribbean,°C,Y1980,1980,0.508
Caribbean,°C,Y1981,1981,0.189
Caribbean,°C,Y1982,1982,0.418
Caribbean,°C,Y1983,1983,0.387
Caribbean,°C,Y1984,1984,0.212
Caribbean,°C,Y1985,1985,0.118
Caribbean,°C,Y1986,1986,0.243
Caribbean,°C,Y1987,1987,0.691
Caribbean,°C,Y1988,1988,0.568
Caribbean,°C,Y1989,1989,0.454
Caribbean,°C,Y1990,1990,0.683
Caribbean,°C,Y1991,1991,0.655
Caribbean,°C,Y1992,1992,0.487
Caribbean,°C,Y1993,1993,0.471
Caribbean,°C,Y1994,1994,0.885
Caribbean,°C,Y1995,1995,0.914
Caribbean,°C,Y1996,1996,0.5
Caribbean,°C,Y1997,1997,0.958
Caribbean,°C,Y1998,1998,1.205
Caribbean,°C,Y1999,1999,0.788
Caribbean,°C,Y2000,2000,0.561
Caribbean,°C,Y2001,2001,0.571
Caribbean,°C,Y2002,2002,0.907
Caribbean,°C,Y2003,2003,1.094
Caribbean,°C,Y2004,2004,0.782
Caribbean,°C,Y2005,2005,0.728
Caribbean,°C,Y2006,2006,0.868
Caribbean,°C,Y2007,2007,0.955
Caribbean,°C,Y2008,2008,0.534
Caribbean,°C,Y2009,2009,0.659
Caribbean,°C,Y2010,2010,0.867
Caribbean,°C,Y2011,2011,0.542
Caribbean,°C,Y2012,2012,0.647
Caribbean,°C,Y2013,2013,0.874
South America,°C,Y1961,1961,0.116
South America,°C,Y1962,1962,-0.139
South America,°C,Y1963,1963,0.139
South America,°C,Y1964,1964,-0.217
South America,°C,Y1965,1965,-0.015
South America,°C,Y1966,1966,0.007
South America,°C,Y1967,1967,-0.001
South America,°C,Y1968,1968,-0.147
South America,°C,Y1969,1969,0.374
South America,°C,Y1970,1970,0.184
South America,°C,Y1971,1971,-0.277
South America,°C,Y1972,1972,0.085
South America,°C,Y1973,1973,0.251
South America,°C,Y1974,1974,-0.209
South America,°C,Y1975,1975,-0.149
South America,°C,Y1976,1976,-0.217
South America,°C,Y1977,1977,0.285
South America,°C,Y1978,1978,0.148
South America,°C,Y1979,1979,0.125
South America,°C,Y1980,1980,0.335
South America,°C,Y1981,1981,0.228
South America,°C,Y1982,1982,0.289
South America,°C,Y1983,1983,0.476
South America,°C,Y1984,1984,0.144
South America,°C,Y1985,1985,0.14
South America,°C,Y1986,1986,0.296
South America,°C,Y1987,1987,0.649
South America,°C,Y1988,1988,0.3
South America,°C,Y1989,1989,0.203
South America,°C,Y1990,1990,0.389
South America,°C,Y1991,1991,0.408
South America,°C,Y1992,1992,0.299
South America,°C,Y1993,1993,0.396
South America,°C,Y1994,1994,0.536
South America,°C,Y1995,1995,0.642
South America,°C,Y1996,1996,0.418
South America,°C,Y1997,1997,0.744
South America,°C,Y1998,1998,1.017
South America,°C,Y1999,1999,0.387
South America,°C,Y2000,2000,0.312
South America,°C,Y2001,2001,0.623
South America,°C,Y2002,2002,0.837
South America,°C,Y2003,2003,0.856
South America,°C,Y2004,2004,0.738
South America,°C,Y2005,2005,0.883
South America,°C,Y2006,2006,0.786
South America,°C,Y2007,2007,0.666
South America,°C,Y2008,2008,0.666
South America,°C,Y2009,2009,0.933
South America,°C,Y2010,2010,0.906
South America,°C,Y2011,2011,0.721
South America,°C,Y2012,2012,0.943
South America,°C,Y2013,2013,0.834
Asia,°C,Y1961,1961,0.049
Asia,°C,Y1962,1962,-0.008
Asia,°C,Y1963,1963,0.266
Asia,°C,Y1964,1964,-0.166
Asia,°C,Y1965,1965,-0.033
Asia,°C,Y1966,1966,0.326
Asia,°C,Y1967,1967,-0.308
Asia,°C,Y1968,1968,-0.337
Asia,°C,Y1969,1969,-0.017
Asia,°C,Y1970,1970,0.073
Asia,°C,Y1971,1971,-0.122
Asia,°C,Y1972,1972,-0.164
Asia,°C,Y1973,1973,0.251
Asia,°C,Y1974,1974,-0.132
Asia,°C,Y1975,1975,0.018
Asia,°C,Y1976,1976,-0.328
Asia,°C,Y1977,1977,0.101
Asia,°C,Y1978,1978,0.162
Asia,°C,Y1979,1979,0.448
Asia,°C,Y1980,1980,0.28
Asia,°C,Y1981,1981,0.207
Asia,°C,Y1982,1982,0.109
Asia,°C,Y1983,1983,-0.013
Asia,°C,Y1984,1984,-0.118
Asia,°C,Y1985,1985,0.016
Asia,°C,Y1986,1986,0.056
Asia,°C,Y1987,1987,0.406
Asia,°C,Y1988,1988,0.423
Asia,°C,Y1989,1989,0.259
Asia,°C,Y1990,1990,0.527
Asia,°C,Y1991,1991,0.39
Asia,°C,Y1992,1992,-0.059
Asia,°C,Y1993,1993,0.073
Asia,°C,Y1994,1994,0.522
Asia,°C,Y1995,1995,0.616
Asia,°C,Y1996,1996,0.173
Asia,°C,Y1997,1997,0.614
Asia,°C,Y1998,1998,1.047
Asia,°C,Y1999,1999,1.091
Asia,°C,Y2000,2000,0.68
Asia,°C,Y2001,2001,1.019
Asia,°C,Y2002,2002,1.16
Asia,°C,Y2003,2003,0.644
Asia,°C,Y2004,2004,1.088
Asia,°C,Y2005,2005,0.862
Asia,°C,Y2006,2006,1.101
Asia,°C,Y2007,2007,1.182
Asia,°C,Y2008,2008,0.873
Asia,°C,Y2009,2009,1.075
Asia,°C,Y2010,2010,1.251
Asia,°C,Y2011,2011,0.701
Asia,°C,Y2012,2012,0.693
Asia,°C,Y2013,2013,1.054
Central Asia,°C,Y1961,1961,0
Central Asia,°C,Y1962,1962,0
Central Asia,°C,Y1963,1963,0
Central Asia,°C,Y1964,1964,0
Central Asia,°C,Y1965,1965,0
Central Asia,°C,Y1966,1966,0
Central Asia,°C,Y1967,1967,0
Central Asia,°C,Y1968,1968,0
Central Asia,°C,Y1969,1969,0
Central Asia,°C,Y1970,1970,0
Central Asia,°C,Y1971,1971,0
Central Asia,°C,Y1972,1972,0
Central Asia,°C,Y1973,1973,0
Central Asia,°C,Y1974,1974,0
Central Asia,°C,Y1975,1975,0
Central Asia,°C,Y1976,1976,0
Central Asia,°C,Y1977,1977,0
Central Asia,°C,Y1978,1978,0
Central Asia,°C,Y1979,1979,0
Central Asia,°C,Y1980,1980,0
Central Asia,°C,Y1981,1981,0
Central Asia,°C,Y1982,1982,0
Central Asia,°C,Y1983,1983,0
Central Asia,°C,Y1984,1984,0
Central Asia,°C,Y1985,1985,0
Central Asia,°C,Y1986,1986,0
Central Asia,°C,Y1987,1987,0
Central Asia,°C,Y1988,1988,0
Central Asia,°C,Y1989,1989,0
Central Asia,°C,Y1990,1990,0
Central Asia,°C,Y1991,1991,0
Central Asia,°C,Y1992,1992,0.2
Central Asia,°C,Y1993,1993,-0.302
Central Asia,°C,Y1994,1994,0.037
Central Asia,°C,Y1995,1995,1.753
Central Asia,°C,Y1996,1996,-0.357
Central Asia,°C,Y1997,1997,1.753
Central Asia,°C,Y1998,1998,0.589
Central Asia,°C,Y1999,1999,1.345
