Region,Unit,Year (Raw),Year,Temperature Change
Central Asia,°C,Y2000,2000,1.437
Central Asia,°C,Y2001,2001,1.623
Central Asia,°C,Y2002,2002,2.075
Central Asia,°C,Y2003,2003,0.142
Central Asia,°C,Y2004,2004,2.021
Central Asia,°C,Y2005,2005,1.463
Central Asia,°C,Y2006,2006,1.5
Central Asia,°C,Y2007,2007,1.932
Central Asia,°C,Y2008,2008,1.327
Central Asia,°C,Y2009,2009,1.149
Central Asia,°C,Y2010,2010,1.448
Central Asia,°C,Y2011,2011,0.875
Central Asia,°C,Y2012,2012,0.975
Central Asia,°C,Y2013,2013,1.604
Eastern Asia,°C,Y1961,1961,0.27
Eastern Asia,°C,Y1962,1962,-0.124
Eastern Asia,°C,Y1963,1963,0.386
Eastern Asia,°C,Y1964,1964,-0.026
Eastern Asia,°C,Y1965,1965,0.159
Eastern Asia,°C,Y1966,1966,0.202
Eastern Asia,°C,Y1967,1967,-0.282
Eastern Asia,°C,Y1968,1968,-0.468
Eastern Asia,°C,Y1969,1969,-0.299
Eastern Asia,°C,Y1970,1970,-0.313
Eastern Asia,°C,Y1971,1971,0.01
Eastern Asia,°C,Y1972,1972,0.048
Eastern Asia,°C,Y1973,1973,0.451
Eastern Asia,°C,Y1974,1974,-0.007
Eastern Asia,°C,Y1975,1975,0.308
Eastern Asia,°C,Y1976,1976,-0.37
Eastern Asia,°C,Y1977,1977,-0.038
Eastern Asia,°C,Y1978,1978,0.338
Eastern Asia,°C,Y1979,1979,0.393
Eastern Asia,°C,Y1980,1980,0.253
Eastern Asia,°C,Y1981,1981,0.172
Eastern Asia,°C,Y1982,1982,0.472
Eastern Asia,°C,Y1983,1983,0.201
Eastern Asia,°C,Y1984,1984,-0.183
Eastern Asia,°C,Y1985,1985,-0.145
Eastern Asia,°C,Y1986,1986,-0.015
Eastern Asia,°C,Y1987,1987,0.396
Eastern Asia,°C,Y1988,1988,0.415
Eastern Asia,°C,Y1989,1989,0.565
Eastern Asia,°C,Y1990,1990,0.958
Eastern Asia,°C,Y1991,1991,0.598
Eastern Asia,°C,Y1992,1992,0.234
Eastern Asia,°C,Y1993,1993,0.292
Eastern Asia,°C,Y1994,1994,0.826
Eastern Asia,°C,Y1995,1995,0.655
Eastern Asia,°C,Y1996,1996,0.217
Eastern Asia,°C,Y1997,1997,0.885
Eastern Asia,°C,Y1998,1998,1.389
Eastern Asia,°C,Y1999,1999,1.291
Eastern Asia,°C,Y2000,2000,0.628
Eastern Asia,°C,Y2001,2001,1.1
Eastern Asia,°C,Y2002,2002,1.196
Eastern Asia,°C,Y2003,2003,0.764
Eastern Asia,°C,Y2004,2004,1.201
Eastern Asia,°C,Y2005,2005,1.022
Eastern Asia,°C,Y2006,2006,1.192
Eastern Asia,°C,Y2007,2007,1.676
Eastern Asia,°C,Y2008,2008,1.172
Eastern Asia,°C,Y2009,2009,1.323
Eastern Asia,°C,Y2010,2010,0.868
Eastern Asia,°C,Y2011,2011,0.775
Eastern Asia,°C,Y2012,2012,0.563
Eastern Asia,°C,Y2013,2013,1.048
Southern Asia,°C,Y1961,1961,-0.16
Southern Asia,°C,Y1962,1962,-0.24
Southern Asia,°C,Y1963,1963,0.272
Southern Asia,°C,Y1964,1964,-0.285
Southern Asia,°C,Y1965,1965,-0.174
Southern Asia,°C,Y1966,1966,0.336
Southern Asia,°C,Y1967,1967,-0.256
Southern Asia,°C,Y1968,1968,-0.283
Southern Asia,°C,Y1969,1969,0.045
Southern Asia,°C,Y1970,1970,0.418
Southern Asia,°C,Y1971,1971,-0.148
Southern Asia,°C,Y1972,1972,-0.395
Southern Asia,°C,Y1973,1973,0.162
Southern Asia,°C,Y1974,1974,-0.231
Southern Asia,°C,Y1975,1975,-0.321
Southern Asia,°C,Y1976,1976,-0.214
Southern Asia,°C,Y1977,1977,0.256
Southern Asia,°C,Y1978,1978,-0.007
Southern Asia,°C,Y1979,1979,0.355
Southern Asia,°C,Y1980,1980,0.435
Southern Asia,°C,Y1981,1981,0.264
Southern Asia,°C,Y1982,1982,-0.152
Southern Asia,°C,Y1983,1983,-0.175
Southern Asia,°C,Y1984,1984,-0.072
Southern Asia,°C,Y1985,1985,0.175
Southern Asia,°C,Y1986,1986,0.057
Southern Asia,°C,Y1987,1987,0.439
Southern Asia,°C,Y1988,1988,0.57
Southern Asia,°C,Y1989,1989,-0.042
Southern Asia,°C,Y1990,1990,0.219
Southern Asia,°C,Y1991,1991,0.095
Southern Asia,°C,Y1992,1992,-0.314
Southern Asia,°C,Y1993,1993,0.09
Southern Asia,°C,Y1994,1994,0.265
Southern Asia,°C,Y1995,1995,0.266
Southern Asia,°C,Y1996,1996,0.142
Southern Asia,°C,Y1997,1997,0.062
Southern Asia,°C,Y1998,1998,0.665
Southern Asia,°C,Y1999,1999,0.832
Southern Asia,°C,Y2000,2000,0.608
Southern Asia,°C,Y2001,2001,0.801
Southern Asia,°C,Y2002,2002,1.028
Southern Asia,°C,Y2003,2003,0.638
Southern Asia,°C,Y2004,2004,0.853
Southern Asia,°C,Y2005,2005,0.52
Southern Asia,°C,Y2006,2006,1.038
Southern Asia,°C,Y2007,2007,0.605
Southern Asia,°C,Y2008,2008,0.456
Southern Asia,°C,Y2009,2009,1.027
Southern Asia,°C,Y2010,2010,1.384
Southern Asia,°C,Y2011,2011,0.679
Southern Asia,°C,Y2012,2012,0.49
Southern Asia,°C,Y2013,2013,0.774
South-Eastern Asia,°C,Y1961,1961,-0.052
South-Eastern Asia,°C,Y1962,1962,-0.089
South-Eastern Asia,°C,Y1963,1963,-0.211
South-Eastern Asia,°C,Y1964,1964,0.003
South-Eastern Asia,°C,Y1965,1965,-0.238
South-Eastern Asia,°C,Y1966,1966,0.235
South-Eastern Asia,°C,Y1967,1967,-0.11
South-Eastern Asia,°C,Y1968,1968,-0.083
South-Eastern Asia,°C,Y1969,1969,0.271
South-Eastern Asia,°C,Y1970,1970,0.077
South-Eastern Asia,°C,Y1971,1971,-0.29
South-Eastern Asia,°C,Y1972,1972,-0.003
South-Eastern Asia,°C,Y1973,1973,0.323
South-Eastern Asia,°C,Y1974,1974,-0.233
South-Eastern Asia,°C,Y1975,1975,0.018
South-Eastern Asia,°C,Y1976,1976,-0.213
South-Eastern Asia,°C,Y1977,1977,0.064
South-Eastern Asia,°C,Y1978,1978,0.151
South-Eastern Asia,°C,Y1979,1979,0.34
South-Eastern Asia,°C,Y1980,1980,0.279
South-Eastern Asia,°C,Y1981,1981,0.241
South-Eastern Asia,°C,Y1982,1982,0.04
South-Eastern Asia,°C,Y1983,1983,0.354
South-Eastern Asia,°C,Y1984,1984,-0.04
South-Eastern Asia,°C,Y1985,1985,0.164
South-Eastern Asia,°C,Y1986,1986,0.087
South-Eastern Asia,°C,Y1987,1987,0.584
South-Eastern Asia,°C,Y1988,1988,0.367
South-Eastern Asia,°C,Y1989,1989,0.154
South-Eastern Asia,°C,Y1990,1990,0.285
South-Eastern Asia,°C,Y1991,1991,0.397
South-Eastern Asia,°C,Y1992,1992,0.265
South-Eastern Asia,°C,Y1993,1993,0.218
South-Eastern Asia,°C,Y1994,1994,0.317
South-Eastern Asia,°C,Y1995,1995,0.446
South-Eastern Asia,°C,Y1996,1996,0.291
South-Eastern Asia,°C,Y1997,1997,0.369
South-Eastern Asia,°C,Y1998,1998,1.148
South-Eastern Asia,°C,Y1999,1999,0.445
South-Eastern Asia,°C,Y2000,2000,0.21
South-Eastern Asia,°C,Y2001,2001,0.575
South-Eastern Asia,°C,Y2002,2002,0.61
South-Eastern Asia,°C,Y2003,2003,0.68
South-Eastern Asia,°C,Y2004,2004,0.523
South-Eastern Asia,°C,Y2005,2005,0.757
South-Eastern Asia,°C,Y2006,2006,0.576
South-Eastern Asia,°C,Y2007,2007,0.496
South-Eastern Asia,°C,Y2008,2008,0.324
South-Eastern Asia,°C,Y2009,2009,0.616
South-Eastern Asia,°C,Y2010,2010,0.968
South-Eastern Asia,°C,Y2011,2011,0.328
South-Eastern Asia,°C,Y2012,2012,0.663
South-Eastern Asia,°C,Y2013,2013,0.889
Western Asia,°C,Y1961,1961,-0.1
Western Asia,°C,Y1962,1962,0.705
Western Asia,°C,Y1963,1963,0.412
Western Asia,°C,Y1964,1964,-0.508
Western Asia,°C,Y1965,1965,-0.112
Western Asia,°C,Y1966,1966,0.71
Western Asia,°C,Y1967,1967,-0.641
Western Asia,°C,Y1968,1968,-0.328
Western Asia,°C,Y1969,1969,0.328
Western Asia,°C,Y1970,1970,0.534
Western Asia,°C,Y1971,1971,-0.253
Western Asia,°C,Y1972,1972,-0.515
Western Asia,°C,Y1973,1973,-0.195
Western Asia,°C,Y1974,1974,-0.202
Western Asia,°C,Y1975,1975,-0.212
Western Asia,°C,Y1976,1976,-0.501
Western Asia,°C,Y1977,1977,0.256
Western Asia,°C,Y1978,1978,-0.023
Western Asia,°C,Y1979,1979,0.826
Western Asia,°C,Y1980,1980,0.117
Western Asia,°C,Y1981,1981,0.176
Western Asia,°C,Y1982,1982,-0.355
Western Asia,°C,Y1983,1983,-0.665
Western Asia,°C,Y1984,1984,-0.097
Western Asia,°C,Y1985,1985,0.042
Western Asia,°C,Y1986,1986,0.201
Western Asia,°C,Y1987,1987,0.212
Western Asia,°C,Y1988,1988,0.278
Western Asia,°C,Y1989,1989,0.029
Western Asia,°C,Y1990,1990,0.126
Western Asia,°C,Y1991,1991,0.285
Western Asia,°C,Y1992,1992,-1.029
Western Asia,°C,Y1993,1993,-0.354
Western Asia,°C,Y1994,1994,0.764
Western Asia,°C,Y1995,1995,0.191
Western Asia,°C,Y1996,1996,0.471
Western Asia,°C,Y1997,1997,0.028
Western Asia,°C,Y1998,1998,1.046
Western Asia,°C,Y1999,1999,1.394
Western Asia,°C,Y2000,2000,0.72
Western Asia,°C,Y2001,2001,1.043
Western Asia,°C,Y2002,2002,0.998
Western Asia,°C,Y2003,2003,0.754
Western Asia,°C,Y2004,2004,0.881
Western Asia,°C,Y2005,2005,0.525
Western Asia,°C,Y2006,2006,1.134
Western Asia,°C,Y2007,2007,0.778
Western Asia,°C,Y2008,2008,0.875
Western Asia,°C,Y2009,2009,0.883
Western Asia,°C,Y2010,2010,2.194
Western Asia,°C,Y2011,2011,0.766
Western Asia,°C,Y2012,2012,1.143
Western Asia,°C,Y2013,2013,1.183
Europe,°C,Y1961,1961,0.874
Europe,°C,Y1962,1962,0.3
Europe,°C,Y1963,1963,0.103
Europe,°C,Y1964,1964,-0.523
Europe,°C,Y1965,1965,-0.43
Europe,°C,Y1966,1966,0.724
Europe,°C,Y1967,1967,0.174
Europe,°C,Y1968,1968,0.048
Europe,°C,Y1969,1969,-1.01
Europe,°C,Y1970,1970,0.189
Europe,°C,Y1971,1971,0.264
Europe,°C,Y1972,1972,-0.148
Europe,°C,Y1973,1973,0.173
Europe,°C,Y1974,1974,0.02
Europe,°C,Y1975,1975,0.838
Europe,°C,Y1976,1976,-0.559
Europe,°C,Y1977,1977,0.189
Europe,°C,Y1978,1978,-0.166
Europe,°C,Y1979,1979,0.138
Europe,°C,Y1980,1980,-0.068
Europe,°C,Y1981,1981,0.662
Europe,°C,Y1982,1982,0.111
Europe,°C,Y1983,1983,0.934
Europe,°C,Y1984,1984,0.271
Europe,°C,Y1985,1985,-0.605
Europe,°C,Y1986,1986,0.259
Europe,°C,Y1987,1987,-0.562
Europe,°C,Y1988,1988,0.494
Europe,°C,Y1989,1989,1.035
Europe,°C,Y1990,1990,1.257
Europe,°C,Y1991,1991,0.597
Europe,°C,Y1992,1992,0.472
Europe,°C,Y1993,1993,0.75
Europe,°C,Y1994,1994,0.698
Europe,°C,Y1995,1995,1.83
Europe,°C,Y1996,1996,0.57
Europe,°C,Y1997,1997,1.096
Europe,°C,Y1998,1998,0.187
Europe,°C,Y1999,1999,0.588
Europe,°C,Y2000,2000,1.342
Europe,°C,Y2001,2001,0.953
Europe,°C,Y2002,2002,1.505
Europe,°C,Y2003,2003,0.972
Europe,°C,Y2004,2004,1.282
Europe,°C,Y2005,2005,1.537
Europe,°C,Y2006,2006,0.678
Europe,°C,Y2007,2007,2.31
Europe,°C,Y2008,2008,2.024
Europe,°C,Y2009,2009,1.239
Europe,°C,Y2010,2010,0.817
Europe,°C,Y2011,2011,1.548
Europe,°C,Y2012,2012,1.789
Europe,°C,Y2013,2013,1.118
Eastern Europe,°C,Y1961,1961,0.85
Eastern Europe,°C,Y1962,1962,0.405
Eastern Europe,°C,Y1963,1963,0.209
Eastern Europe,°C,Y1964,1964,-0.638
Eastern Europe,°C,Y1965,1965,-0.429
Eastern Europe,°C,Y1966,1966,0.894
Eastern Europe,°C,Y1967,1967,0.123
Eastern Europe,°C,Y1968,1968,0.109
Eastern Europe,°C,Y1969,1969,-1.15
Eastern Europe,°C,Y1970,1970,0.291
Eastern Europe,°C,Y1971,1971,0.342
Eastern Europe,°C,Y1972,1972,-0.189
Eastern Europe,°C,Y1973,1973,0.15
Eastern Europe,°C,Y1974,1974,-0.018
Eastern Europe,°C,Y1975,1975,0.864
Eastern Europe,°C,Y1976,1976,-0.645
Eastern Europe,°C,Y1977,1977,0.234
Eastern Europe,°C,Y1978,1978,-0.157
Eastern Europe,°C,Y1979,1979,0.238
Eastern Europe,°C,Y1980,1980,-0.041
Eastern Europe,°C,Y1981,1981,0.784
Eastern Europe,°C,Y1982,1982,0.082
Eastern Europe,°C,Y1983,1983,0.99
Eastern Europe,°C,Y1984,1984,0.301
Eastern Europe,°C,Y1985,1985,-0.638
Eastern Europe,°C,Y1986,1986,0.315
Eastern Europe,°C,Y1987,1987,-0.602
Eastern Europe,°C,Y1988,1988,0.469
Eastern Europe,°C,Y1989,1989,1
Eastern Europe,°C,Y1990,1990,1.244
Eastern Europe,°C,Y1991,1991,0.627
Eastern Europe,°C,Y1992,1992,0.397
Eastern Europe,°C,Y1993,1993,0.838
Eastern Europe,°C,Y1994,1994,0.651
Eastern Europe,°C,Y1995,1995,1.995
Eastern Europe,°C,Y1996,1996,0.693
Eastern Europe,°C,Y1997,1997,1.148
Eastern Europe,°C,Y1998,1998,0.049
Eastern Europe,°C,Y1999,1999,0.475
Eastern Europe,°C,Y2000,2000,1.346
Eastern Europe,°C,Y2001,2001,0.89
Eastern Europe,°C,Y2002,2002,1.584
Eastern Europe,°C,Y2003,2003,0.915
Eastern Europe,°C,Y2004,2004,1.346
Eastern Europe,°C,Y2005,2005,1.626
Eastern Europe,°C,Y2006,2006,0.556
Eastern Europe,°C,Y2007,2007,2.471
Eastern Europe,°C,Y2008,2008,2.173
Eastern Europe,°C,Y2009,2009,1.224
Eastern Europe,°C,Y2010,2010,0.91
Eastern Europe,°C,Y2011,2011,1.613
Eastern Europe,°C,Y2012,2012,1.913
Eastern Europe,°C,Y2013,2013,1.174
Northern Europe,°C,Y1961,1961,1.271
Northern Europe,°C,Y1962,1962,-0.616
Northern Europe,°C,Y1963,1963,-0.438
Northern Europe,°C,Y1964,1964,0.329
Northern Europe,°C,Y1965,1965,-0.314
Northern Europe,°C,Y1966,1966,-1.285
Northern Europe,°C,Y1967,1967,0.599
Northern Europe,°C,Y1968,1968,-0.854
Northern Europe,°C,Y1969,1969,-0.302
Northern Europe,°C,Y1970,1970,-0.68
Northern Europe,°C,Y1971,1971,-0.046
Northern Europe,°C,Y1972,1972,0.668
Northern Europe,°C,Y1973,1973,0.823
Northern Europe,°C,Y1974,1974,0.745
Northern Europe,°C,Y1975,1975,1.2
Northern Europe,°C,Y1976,1976,-0.059
Northern Europe,°C,Y1977,1977,-0.385
Northern Europe,°C,Y1978,1978,-0.13
Northern Europe,°C,Y1979,1979,-0.972
Northern Europe,°C,Y1980,1980,-0.308
Northern Europe,°C,Y1981,1981,-0.244
Northern Europe,°C,Y1982,1982,-0.081
Northern Europe,°C,Y1983,1983,0.636
Northern Europe,°C,Y1984,1984,0.524
Northern Europe,°C,Y1985,1985,-0.787
Northern Europe,°C,Y1986,1986,-0.418
Northern Europe,°C,Y1987,1987,-0.906
Northern Europe,°C,Y1988,1988,0.501
Northern Europe,°C,Y1989,1989,1.657
Northern Europe,°C,Y1990,1990,1.323
Northern Europe,°C,Y1991,1991,0.846
Northern Europe,°C,Y1992,1992,1.077
Northern Europe,°C,Y1993,1993,0.575
Northern Europe,°C,Y1994,1994,0.237
Northern Europe,°C,Y1995,1995,1.194
Northern Europe,°C,Y1996,1996,-0.077
Northern Europe,°C,Y1997,1997,0.817
Northern Europe,°C,Y1998,1998,0.482
Northern Europe,°C,Y1999,1999,1.222
Northern Europe,°C,Y2000,2000,1.482
Northern Europe,°C,Y2001,2001,0.995
Northern Europe,°C,Y2002,2002,1.327
Northern Europe,°C,Y2003,2003,0.943
Northern Europe,°C,Y2004,2004,1.177
Northern Europe,°C,Y2005,2005,1.629
Northern Europe,°C,Y2006,2006,1.328
Northern Europe,°C,Y2007,2007,1.767
Northern Europe,°C,Y2008,2008,1.698
Northern Europe,°C,Y2009,2009,1.36
Northern Europe,°C,Y2010,2010,0.02
Northern Europe,°C,Y2011,2011,1.187
Northern Europe,°C,Y2012,2012,1.15
Northern Europe,°C,Y2013,2013,0.866
Southern Europe,°C,Y1961,1961,0.768
Southern Europe,°C,Y1962,1962,0.262
Southern Europe,°C,Y1963,1963,-0.188
Southern Europe,°C,Y1964,1964,0.127
Southern Europe,°C,Y1965,1965,-0.332
Southern Europe,°C,Y1966,1966,0.468
Southern Europe,°C,Y1967,1967,0.149
Southern Europe,°C,Y1968,1968,0.09
Southern Europe,°C,Y1969,1969,-0.221
Southern Europe,°C,Y1970,1970,-0.026
Southern Europe,°C,Y1971,1971,-0.451
Southern Europe,°C,Y1972,1972,-0.422
Southern Europe,°C,Y1973,1973,-0.166
Southern Europe,°C,Y1974,1974,-0.258
Southern Europe,°C,Y1975,1975,-0.006
Southern Europe,°C,Y1976,1976,-0.467
Southern Europe,°C,Y1977,1977,0.148
Southern Europe,°C,Y1978,1978,-0.314
Southern Europe,°C,Y1979,1979,0.164
Southern Europe,°C,Y1980,1980,-0.136
Southern Europe,°C,Y1981,1981,0.039
Southern Europe,°C,Y1982,1982,0.446
Southern Europe,°C,Y1983,1983,0.358
Southern Europe,°C,Y1984,1984,-0.248
Southern Europe,°C,Y1985,1985,0.145
Southern Europe,°C,Y1986,1986,0.331
Southern Europe,°C,Y1987,1987,0.297
Southern Europe,°C,Y1988,1988,0.66
Southern Europe,°C,Y1989,1989,0.631
Southern Europe,°C,Y1990,1990,1.164
Southern Europe,°C,Y1991,1991,0.07
Southern Europe,°C,Y1992,1992,0.331
Southern Europe,°C,Y1993,1993,0.089
Southern Europe,°C,Y1994,1994,1.258
Southern Europe,°C,Y1995,1995,0.813
Southern Europe,°C,Y1996,1996,0.351
Southern Europe,°C,Y1997,1997,0.905
Southern Europe,°C,Y1998,1998,1.039
Southern Europe,°C,Y1999,1999,0.779
Southern Europe,°C,Y2000,2000,1.016
Southern Europe,°C,Y2001,2001,1.438
Southern Europe,°C,Y2002,2002,0.829
Southern Europe,°C,Y2003,2003,1.313
Southern Europe,°C,Y2004,2004,0.777
Southern Europe,°C,Y2005,2005,0.593
Southern Europe,°C,Y2006,2006,1.04
Southern Europe,°C,Y2007,2007,1.232
Southern Europe,°C,Y2008,2008,1.011
Southern Europe,°C,Y2009,2009,1.266
Southern Europe,°C,Y2010,2010,0.986
Southern Europe,°C,Y2011,2011,1.266
Southern Europe,°C,Y2012,2012,1.314
Southern Europe,°C,Y2013,2013,1.077
Western Europe,°C,Y1961,1961,0.908
Western Europe,°C,Y1962,1962,-0.509
Western Europe,°C,Y1963,1963,-0.991
Western Europe,°C,Y1964,1964,-0.133
Western Europe,°C,Y1965,1965,-0.72
Western Europe,°C,Y1966,1966,0.427
Western Europe,°C,Y1967,1967,0.645
Western Europe,°C,Y1968,1968,0.046
Western Europe,°C,Y1969,1969,-0.04
Western Europe,°C,Y1970,1970,-0.415
Western Europe,°C,Y1971,1971,-0.079
Western Europe,°C,Y1972,1972,-0.175
Western Europe,°C,Y1973,1973,0.097
Western Europe,°C,Y1974,1974,0.098
Western Europe,°C,Y1975,1975,0.744
Western Europe,°C,Y1976,1976,0.406
Western Europe,°C,Y1977,1977,0.149
Western Europe,°C,Y1978,1978,-0.229
Western Europe,°C,Y1979,1979,-0.369
Western Europe,°C,Y1980,1980,-0.202
Western Europe,°C,Y1981,1981,0.177
Western Europe,°C,Y1982,1982,0.623
Western Europe,°C,Y1983,1983,0.867
Western Europe,°C,Y1984,1984,-0.113
Western Europe,°C,Y1985,1985,-0.545
Western Europe,°C,Y1986,1986,0.011
Western Europe,°C,Y1987,1987,-0.238
Western Europe,°C,Y1988,1988,0.814
Western Europe,°C,Y1989,1989,1.333
Western Europe,°C,Y1990,1990,1.536
Western Europe,°C,Y1991,1991,0.244
Western Europe,°C,Y1992,1992,0.911
Western Europe,°C,Y1993,1993,0.328
Western Europe,°C,Y1994,1994,1.595
Western Europe,°C,Y1995,1995,1.275
Western Europe,°C,Y1996,1996,-0.206
Western Europe,°C,Y1997,1997,0.904
Western Europe,°C,Y1998,1998,1.045
Western Europe,°C,Y1999,1999,1.245
Western Europe,°C,Y2000,2000,1.443
Western Europe,°C,Y2001,2001,1.365
Western Europe,°C,Y2002,2002,1.267
Western Europe,°C,Y2003,2003,1.573
Western Europe,°C,Y2004,2004,0.984
Western Europe,°C,Y2005,2005,1
Western Europe,°C,Y2006,2006,1.264
Western Europe,°C,Y2007,2007,1.735
Western Europe,°C,Y2008,2008,1.241
Western Europe,°C,Y2009,2009,1.257
Western Europe,°C,Y2010,2010,0.328
Western Europe,°C,Y2011,2011,1.358
Western Europe,°C,Y2012,2012,1.3
Western Europe,°C,Y2013,2013,0.675
Oceania,°C,Y1961,1961,0.116
Oceania,°C,Y1962,1962,0.14
Oceania,°C,Y1963,1963,-0.118
Oceania,°C,Y1964,1964,-0.03
Oceania,°C,Y1965,1965,0.067
Oceania,°C,Y1966,1966,-0.231
Oceania,°C,Y1967,1967,-0.104
Oceania,°C,Y1968,1968,-0.195
Oceania,°C,Y1969,1969,0.096
Oceania,°C,Y1970,1970,0.032
Oceania,°C,Y1971,1971,-0.016
Oceania,°C,Y1972,1972,0.072
Oceania,°C,Y1973,1973,0.795
Oceania,°C,Y1974,1974,-0.297
Oceania,°C,Y1975,1975,0.077
Oceania,°C,Y1976,1976,-0.484
Oceania,°C,Y1977,1977,0.156
Oceania,°C,Y1978,1978,0.095
Oceania,°C,Y1979,1979,0.351
Oceania,°C,Y1980,1980,0.792
Oceania,°C,Y1981,1981,0.444
Oceania,°C,Y1982,1982,0.135
Oceania,°C,Y1983,1983,0.559
Oceania,°C,Y1984,1984,-0.151
Oceania,°C,Y1985,1985,0.292
Oceania,°C,Y1986,1986,0.327
Oceania,°C,Y1987,1987,0.306
Oceania,°C,Y1988,1988,0.875
Oceania,°C,Y1989,1989,0.143
Oceania,°C,Y1990,1990,0.488
Oceania,°C,Y1991,1991,0.716
Oceania,°C,Y1992,1992,0.202
Oceania,°C,Y1993,1993,0.378
Oceania,°C,Y1994,1994,0.163
Oceania,°C,Y1995,1995,0.367
Oceania,°C,Y1996,1996,0.518
Oceania,°C,Y1997,1997,0.289
Oceania,°C,Y1998,1998,1.038
Oceania,°C,Y1999,1999,0.547
Oceania,°C,Y2000,2000,0.143
Oceania,°C,Y2001,2001,0.342
Oceania,°C,Y2002,2002,0.703
Oceania,°C,Y2003,2003,0.771
Oceania,°C,Y2004,2004,0.632
Oceania,°C,Y2005,2005,1.091
Oceania,°C,Y2006,2006,0.614
Oceania,°C,Y2007,2007,0.824
Oceania,°C,Y2008,2008,0.543
Oceania,°C,Y2009,2009,0.9
Oceania,°C,Y2010,2010,0.666
Oceania,°C,Y2011,2011,0.212
Oceania,°C,Y2012,2012,0.276
Oceania,°C,Y2013,2013,1.396
Australia and New Zealand,°C,Y1961,1961,0.136
Australia and New Zealand,°C,Y1962,1962,0.139
Australia and New Zealand,°C,Y1963,1963,-0.122
Australia and New Zealand,°C,Y1964,1964,-0.036
Australia and New Zealand,°C,Y1965,1965,0.108
Australia and New Zealand,°C,Y1966,1966,-0.237
Australia and New Zealand,°C,Y1967,1967,-0.095
Australia and New Zealand,°C,Y1968,1968,-0.202
Australia and New Zealand,°C,Y1969,1969,0.096
Australia and New Zealand,°C,Y1970,1970,0.022
Australia and New Zealand,°C,Y1971,1971,-0.016
Australia and New Zealand,°C,Y1972,1972,0.099
Australia and New Zealand,°C,Y1973,1973,0.835
Australia and New Zealand,°C,Y1974,1974,-0.322
Australia and New Zealand,°C,Y1975,1975,0.078
Australia and New Zealand,°C,Y1976,1976,-0.501
Australia and New Zealand,°C,Y1977,1977,0.17
Australia and New Zealand,°C,Y1978,1978,0.088
Australia and New Zealand,°C,Y1979,1979,0.366
Australia and New Zealand,°C,Y1980,1980,0.833
Australia and New Zealand,°C,Y1981,1981,0.455
Australia and New Zealand,°C,Y1982,1982,0.15
Australia and New Zealand,°C,Y1983,1983,0.574
Australia and New Zealand,°C,Y1984,1984,-0.18
Australia and New Zealand,°C,Y1985,1985,0.297
Australia and New Zealand,°C,Y1986,1986,0.329
Australia and New Zealand,°C,Y1987,1987,0.306
Australia and New Zealand,°C,Y1988,1988,0.893
Australia and New Zealand,°C,Y1989,1989,0.131
Australia and New Zealand,°C,Y1990,1990,0.499
Australia and New Zealand,°C,Y1991,1991,0.752
Australia and New Zealand,°C,Y1992,1992,0.184
Australia and New Zealand,°C,Y1993,1993,0.389
Australia and New Zealand,°C,Y1994,1994,0.158
Australia and New Zealand,°C,Y1995,1995,0.34
Australia and New Zealand,°C,Y1996,1996,0.514
Australia and New Zealand,°C,Y1997,1997,0.303
Australia and New Zealand,°C,Y1998,1998,1.021
Australia and New Zealand,°C,Y1999,1999,0.559
Australia and New Zealand,°C,Y2000,2000,0.128
Australia and New Zealand,°C,Y2001,2001,0.329
Australia and New Zealand,°C,Y2002,2002,0.697
Australia and New Zealand,°C,Y2003,2003,0.772
Australia and New Zealand,°C,Y2004,2004,0.65
Australia and New Zealand,°C,Y2005,2005,1.121
Australia and New Zealand,°C,Y2006,2006,0.635
Australia and New Zealand,°C,Y2007,2007,0.844
Australia and New Zealand,°C,Y2008,2008,0.553
Australia and New Zealand,°C,Y2009,2009,0.938
Australia and New Zealand,°C,Y2010,2010,0.642
Australia and New Zealand,°C,Y2011,2011,0.192
Australia and New Zealand,°C,Y2012,2012,0.268
Australia and New Zealand,°C,Y2013,2013,1.435
Melanesia,°C,Y1961,1961,-0.184
Melanesia,°C,Y1962,1962,0.153
Melanesia,°C,Y1963,1963,-0.073
Melanesia,°C,Y1964,1964,0.066
Melanesia,°C,Y1965,1965,-0.538
Melanesia,°C,Y1966,1966,-0.137
Melanesia,°C,Y1967,1967,-0.236
Melanesia,°C,Y1968,1968,-0.094
Melanesia,°C,Y1969,1969,0.102
Melanesia,°C,Y1970,1970,0.185
Melanesia,°C,Y1971,1971,-0.017
Melanesia,°C,Y1972,1972,-0.335
Melanesia,°C,Y1973,1973,0.215
Melanesia,°C,Y1974,1974,0.068
Melanesia,°C,Y1975,1975,0.067
Melanesia,°C,Y1976,1976,-0.238
Melanesia,°C,Y1977,1977,-0.064
Melanesia,°C,Y1978,1978,0.193
Melanesia,°C,Y1979,1979,0.129
Melanesia,°C,Y1980,1980,0.205
Melanesia,°C,Y1981,1981,0.298
Melanesia,°C,Y1982,1982,-0.083
Melanesia,°C,Y1983,1983,0.341
Melanesia,°C,Y1984,1984,0.262
Melanesia,°C,Y1985,1985,0.218
Melanesia,°C,Y1986,1986,0.299
Melanesia,°C,Y1987,1987,0.308
Melanesia,°C,Y1988,1988,0.625
Melanesia,°C,Y1989,1989,0.319
Melanesia,°C,Y1990,1990,0.327
Melanesia,°C,Y1991,1991,0.196
